Nr probki	Sygnal pomiarowy
0	2,18017578
1	2,18017578
2	2,1875
3	2,19238281
4	2,18017578
5	2,20214844
6	2,29248047
7	2,24853516
8	2,30224609
9	2,29980469
10	2,24365234
11	2,21923828
12	2,23632813
13	2,29248047
14	2,24853516
15	2,21923828
16	2,23632813
17	2,25585938
18	2,30712891
19	2,28271484
20	2,24365234
21	2,23144531
22	2,21679688
23	2,25097656
24	2,28271484
25	2,31445313
26	2,24853516
27	2,27050781
28	2,23144531
29	2,26806641
30	2,25585938
31	2,18261719
32	2,32177734
33	2,34130859
34	2,29980469
35	2,34619141
36	2,34863281
37	2,32177734
38	2,35351563
39	2,33642578
40	2,39013672
41	2,35107422
42	2,29980469
43	2,24121094
44	2,35107422
45	2,39257813
46	2,37304688
47	2,36328125
48	2,29736328
49	2,28271484
50	2,26806641
51	2,29736328
52	2,31201172
53	2,31933594
54	2,26806641
55	2,32666016
56	2,32910156
57	2,34619141
58	2,37304688
59	2,34863281
60	2,36328125
61	2,33642578
62	2,34863281
63	2,29492188
64	2,27783203
65	2,34130859
66	2,39501953
67	2,37304688
68	2,31933594
69	2,29492188
70	2,31689453
71	2,29492188
72	2,31445313
73	2,30957031
74	2,28271484
75	2,29980469
76	2,29492188
77	2,29492188
78	2,33154297
79	2,35595703
80	2,29248047
81	2,27050781
82	2,2265625
83	2,24365234
84	2,28027344
85	2,28515625
86	2,26806641
87	2,26318359
88	2,26074219
89	2,23632813
90	2,25097656
91	2,27050781
92	2,30957031
93	2,26318359
94	2,23632813
95	2,22900391
96	2,22412109
97	2,16308594
98	2,16552734
99	2,18261719
100	2,18994141
101	2,17285156
102	2,16064453
103	2,19726563
104	2,20214844
105	2,17041016
106	2,16308594
107	2,17773438
108	2,13623047
109	2,05322266
110	2,13378906
111	2,01660156
112	1,98974609
113	1,95068359
114	1,93603516
115	1,92138672
116	1,93847656
117	1,94824219
118	1,91162109
119	1,85058594
120	1,81152344
121	1,88720703
122	1,88964844
123	1,87011719
124	1,84814453
125	1,86279297
126	1,87255859
127	1,84570313
128	1,87744141
129	1,796875
130	1,78955078
131	1,66015625
132	1,73828125
133	1,77734375
134	1,81884766
135	1,73583984
136	1,69921875
137	1,59667969
138	1,57470703
139	1,57470703
140	1,59667969
141	1,61865234
142	1,63818359
143	1,62353516
144	1,65283203
145	1,64794922
146	1,70410156
147	1,72851563
148	1,78222656
149	1,84082031
150	1,89941406
151	1,89453125
152	1,76513672
153	1,65527344
154	1,64794922
155	1,68701172
156	1,65283203
157	1,73339844
158	1,80664063
159	1,81152344
160	1,82861328
161	1,81396484
162	1,86523438
163	1,86767578
164	1,85791016
165	1,93847656
166	1,90917969
167	1,91894531
168	1,94335938
169	1,91650391
170	1,90917969
171	1,93603516
172	1,96044922
173	1,94335938
174	1,95068359
175	1,96289063
176	1,96533203
177	1,953125
178	1,92138672
179	1,94091797
180	1,96533203
181	1,97265625
182	1,92626953
183	1,85546875
184	1,88964844
185	1,93603516
186	1,91894531
187	1,89697266
188	1,91162109
189	1,94824219
190	1,94580078
191	1,92138672
192	1,95068359
193	1,98242188
194	1,98730469
195	1,98730469
196	1,97753906
197	1,97265625
198	1,97265625
199	1,97753906
200	1,96777344
201	1,96533203
202	1,95556641
203	1,96533203
204	1,953125
205	1,96533203
206	1,953125
207	1,97265625
208	1,97753906
209	2,00439453
210	1,99707031
211	1,99707031
212	2,02148438
213	2,02880859
214	2,02148438
215	2,02392578
216	2,04101563
217	2,05322266
218	2,05810547
219	2,06787109
220	2,04101563
221	2,05566406
222	2,06787109
223	2,08984375
224	2,08007813
225	2,09228516
226	2,07519531
227	2,09228516
228	2,109375
229	2,09472656
230	2,09716797
231	2,09228516
232	2,09716797
233	2,08740234
234	2,09472656
235	2,12646484
236	2,18017578
237	2,14599609
238	2,11669922
239	2,08740234
240	2,0703125
241	2,07763672
242	2,08251953
243	2,08984375
244	2,08007813
245	2,10693359
246	2,12646484
247	2,12646484
248	2,12158203
249	2,11425781
250	2,12890625
251	2,14599609
252	2,13378906
253	2,19726563
254	2,18017578
255	2,1875
256	2,19726563
257	2,19238281
258	2,18261719
259	2,16796875
260	2,16552734
261	2,12646484
262	2,15576172
263	2,13623047
264	2,09716797
265	2,11914063
266	2,12402344
267	2,13134766
268	2,13134766
269	2,19970703
270	2,20458984
271	2,18505859
272	2,19238281
273	2,17285156
274	2,18017578
275	2,18505859
276	2,14111328
